stock name,last traded price,haircut percentage,post haircut value
AARTIPHARM,713.45,0.2,570760.0000000001
DEEPAKNTR,1933.9,0.2,1547120.0000000002
TVSSCS,112.74,0.2,90192.0
NFL,81.67,0.2066,64796.977999999996
MARUTI,11855.0,0.09,10788050.000000002
HYUNDAI,1653.9,0.2,1323120.0000000002
SWANENERGY,413.95,0.2325,317706.625
RAJESHEXPO,191.59,0.2,153272.00000000003
BLUESTARCO,2023.6,0.2,1618880.0
SGBJAN29IX,8728.23,0.1,7855407.0
BECTORFOOD,1586.4,0.2,1269120.0000000002
INDIAGLYCO,1376.9,0.2,1101520.0000000002
PGEL,956.0,0.24760000000000001,719294.4
PREMIERENE,929.15,0.2,743320.0
SGBSEP27,8800.0,0.1,7920000.0
SGBNOV25VI,8925.0,0.1,8032500.0
RECLTD,423.3,0.2,338640.00000000006
SGBAUG27,8873.2,0.1,7985880.000000001
SGBMAY26,8990.0,0.1,8091000.0
FLUOROCHEM,3915.5,0.2,3132400.0
GOLDCASE,14.72,0.2,11776.000000000002
PAGEIND,45210.0,0.2,36168000.0
EICHERMOT,5529.0,0.1079,4932420.9
NMDC,65.14,0.2,52112.0
KIRLOSENG,732.7,0.2,586160.0000000001
MOIL,316.4,0.2,253120.0
ANANTRAJ,476.45,0.259,353049.44999999995
ETERNAL,222.23,0.1766,182984.182
LMW,15595.0,0.2,12476000.0
TIINDIA,2570.7,0.2,2056560.0
CHAMBLFERT,664.0,0.2,531200.0
QPOWER,337.25,0.2,269800.0
SGBNOV25,8925.0,0.1,8032500.0
HSCL,449.5,0.2,359600.0
RCF,133.03,0.2073,105452.881
NCC,215.91,0.2,172728.0
IREDA,166.98,0.21280000000000002,131446.656
STOVEKRAFT,659.55,0.2,527640.0
VENUSPIPES,1326.7,0.2,1061360.0000000002
TITAN,3273.4,0.0935,2967337.1
BASF,4543.6,0.2,3634880.0000000005
NIFTYIETF,259.64,0.06,244061.59999999998
HDFCBANK,1864.9,0.09,1697059.0000000002
HINDALCO,617.6,0.1328,535582.72
TRANSRAILL,491.25,0.2,393000.0
LIQUIDBEES,1000.0,0.05,950000.0
TATACONSUM,1103.4,0.09960000000000001,993501.3600000001
SENORES,562.25,0.2,449800.0
SGBMAR30X,8759.38,0.1,7883441.999999999
TANLA,483.5,0.2,386800.0
TORNTPHARM,3221.8,0.2,2577440.0000000005
INOXGREEN,143.02,0.2522,106950.35600000001
YESBANK,17.52,0.2,14016.0
COLPAL,2513.7,0.2,2010960.0
IGIL,339.55,0.2,271640.00000000006
SGBJUN30,8854.88,0.1,7969392.0
SHRIRAMPPS,75.45,0.207,59831.850000000006
SGBOCT25IV,8875.0,0.1,7987500.0
DMART,4212.7,0.2,3370160.0
SANOFI,6183.5,0.2,4946800.0
LAXMIDENTL,413.05,0.2,330440.00000000006
SULA,282.2,0.2,225760.0
ABSLLIQUID,1000.0,0.05,950000.0
INDUSTOWER,380.45,0.2,304360.0
UCOBANK,29.53,0.2,23624.000000000004
DOMS,2628.8,0.2,2103040.0000000005
AADHARHFC,467.7,0.2,374160.0
JUNIORBEES,677.29,0.0732,627712.372
KFINTECH,1007.2,0.21850000000000003,787126.8
FORTIS,669.25,0.2,535400.0
BERGEPAINT,526.4,0.2,421120.0
OIL,365.95,0.2,292760.0
SCHNEIDER,615.35,0.2,492280.00000000006
ITC,420.4,0.09,382563.99999999994
EMAMILTD,604.7,0.2,483760.00000000006
EBBETF0431,1334.58,0.2,1067664.0
DRREDDY,1154.9,0.09,1050959.0
3MINDIA,30385.0,0.2,24308000.0
GUJGASLTD,432.4,0.2,345920.0
CONSUMBEES,122.14,0.2,97712.0
LTF,158.64,0.2,126911.99999999999
ADVENZYMES,288.55,0.2,230840.00000000003
VTL,485.35,0.2,388280.00000000006
ICICIB22,103.6,0.2,82880.0
JYOTHYLAB,371.5,0.2,297200.0
INDIANB,541.25,0.2,433000.0
MANKIND,2426.1,0.2,1940880.0
SARDAEN,485.6,0.205,386052.0
GMDCLTD,287.0,0.20420000000000002,228394.6
SGLTL,140.88,0.2,112704.00000000001
ASTRAL,1294.3,0.2,1035440.0
SONACOMS,462.55,0.2,370040.0
HAVELLS,1571.7,0.2,1257360.0000000002
INTELLECT,751.8,0.20010000000000003,601364.82
WAAREEENER,2218.5,0.2,1774800.0000000002
SAFARI,2114.6,0.2,1691680.0
PFIZER,4197.9,0.2,3358319.9999999995
MCX,5581.5,0.2,4465200.0
GROWWGOLD,91.95,0.2,73560.0
ARVIND,342.55,0.2,274040.0
NORTHARC,193.23,0.2,154584.0
DCBBANK,118.02,0.2,94416.0
RRKABEL,934.2,0.2,747360.0000000001
JSWINFRA,305.0,0.2,244000.0
BIOCON,328.85,0.2,263080.00000000006
BIRLACORPN,1134.1,0.2,907280.0
PIIND,3589.4,0.2,2871520.0000000005
INDUSINDBK,735.9,0.1989,589529.49
TATAPOWER,378.5,0.2,302800.0
BRITANNIA,5391.3,0.2,4313040.0
MSTCLTD,523.1,0.2152,410528.88
SGBNOV258,8860.0,0.1,7974000.0
SGBOCT27VI,8866.82,0.1,7980138.0
BPCL,294.4,0.2,235519.99999999997
SGBDE30III,8907.05,0.1,8016344.999999999
ABB,5246.5,0.2,4197200.0
APTUS,311.5,0.2,249200.00000000003
GOLDBEES,77.66,0.2,62128.0
AFCONS,442.9,0.2,354320.0
CEATLTD,2903.1,0.2,2322480.0
NSLNISP,35.49,0.2,28392.000000000004
SGBOCT25V,9000.0,0.1,8100000.0
MRF,122905.0,0.2,98324000.0
SGBJUN28,8819.42,0.1,7937478.0
SYNGENE,721.4,0.2,577120.0
INOXINDIA,1014.5,0.2,811600.0
ACC,2046.9,0.2,1637520.0000000002
GOLDSHARE,78.6,0.2,62879.99999999999
GRINDWELL,1694.6,0.2,1355680.0
SHREECEM,31125.0,0.2,24900000.0
ITIETF,35.82,0.2,28656.000000000004
PHARMABEES,21.32,0.2,17056.0
CLEAN,1166.2,0.2,932960.0
GRSE,1698.6,0.25989999999999996,1257133.8599999999
HCLTECH,1426.5,0.0998,1284135.2999999998
JUBLPHARMA,919.9,0.2,735920.0000000001
TIMKEN,2545.8,0.2,2036640.0000000002
SGBMAR28X,8802.0,0.1,7921800.0
SGBSEP31II,8878.47,0.1,7990623.0
IIFL,332.4,0.2,265920.0
SBFC,93.91,0.2,75128.0
ARE&M,994.6,0.2,795680.0000000001
ADANIENSOL,887.4,0.24050000000000002,673980.2999999999
KAYNES,5520.9,0.2227,4291395.569999999
STARCEMENT,223.51,0.2,178808.0
SPARC,147.98,0.2,118384.0
SGBJUL25,9010.5,0.1,8109450.0
EXIDEIND,379.7,0.2,303760.0
ABREL,1857.2,0.2,1485760.0000000002
THERMAX,3245.6,0.2,2596480.0
NEXT50IETF,66.16,0.0731,61323.704
GOKEX,838.65,0.2,670920.0000000001
GILLETTE,7969.0,0.2,6375200.000000001
MOTILALOFS,632.05,0.21309999999999998,497360.14499999996
SGBOCT27,8829.0,0.1,7946100.0
JSWSTEEL,1008.0,0.106,901152.0
TDPOWERSYS,431.65,0.20800000000000002,341866.8
BAJAJHLDNG,11826.0,0.2,9460800.000000002
TTML,58.46,0.2143,45932.022000000004
IDEAFORGE,364.35,0.2,291480.0
IOLCP,63.49,0.2,50792.0
M&MFIN,268.05,0.2,214440.00000000003
MOM30IETF,28.09,0.0812,25809.092000000004
KNRCON,232.17,0.2,185736.0
EIEL,212.24,0.2,169792.00000000003
IFCI,42.81,0.252,32021.880000000005
MOBIKWIK,277.85,0.2,222280.00000000003
RAIN,141.61,0.2,113288.00000000001
IRFC,128.27,0.2,102616.00000000001
WIPRO,244.0,0.1139,216208.40000000002
TATATECH,650.45,0.2,520360.0
ATUL,5627.0,0.2,4501600.0
NEWGEN,941.85,0.23809999999999998,717595.5150000001
NIACL,161.33,0.2102,127418.43400000002
INTERARCH,1672.1,0.2,1337680.0
DIVISLAB,5734.5,0.2,4587600.0
MTNL,43.49,0.2801,31308.451
ASTERDM,489.45,0.2,391560.0
JTLIND,80.88,0.2,64703.99999999999
SHARDACROP,550.7,0.2202,429435.86000000004
SGBAPR28I,8973.41,0.1,8076069.0
SWSOLAR,265.6,0.21280000000000002,209080.32000000004
ABSLAMC,629.05,0.2,503240.0
AARTIDRUGS,355.25,0.2,284200.0
BANKBEES,536.28,0.2,429024.0
SGBAUG29V,8900.07,0.1,8010063.0
ABDL,309.3,0.2,247440.00000000003
TRENT,4877.0,0.1684,4055713.2
EBBETF0430,1493.85,0.2,1195080.0
MFSL,1195.3,0.2,956240.0
FINCABLES,895.5,0.2,716400.0000000001
PVRINOX,945.8,0.2,756640.0
TATACHEM,846.9,0.2,677520.0
KAJARIACER,808.0,0.2,646400.0000000001
SILVERBEES,92.22,0.2,73776.0
APLLTD,846.45,0.2,677160.0000000001
CAPLIPOINT,1925.6,0.2,1540480.0
SGBNV29VII,8755.22,0.1,7879697.999999999
POLYCAB,5249.5,0.2,4199600.0
BSOFT,372.05,0.2,297640.00000000006
AJANTPHARM,2623.2,0.2,2098560.0
PVTBANIETF,26.14,0.2,20912.000000000004
ACI,613.25,0.2,490600.0
HONAUT,34140.0,0.2,27312000.0
SIEMENS,2839.5,0.2,2271600.0
HAL,4206.1,0.2,3364880.0000000005
HINDCOPPER,209.69,0.2,167752.0
TRIDENT,26.53,0.2,21224.000000000004
SGBJUN29II,8738.33,0.1,7864497.0
AUBANK,576.0,0.2,460800.0
MOREPENLAB,52.39,0.2217,40775.137
MAZDOCK,2661.3,0.2492,1998104.0400000003
UPL,658.0,0.2,526400.0
SGBJUL27,8772.0,0.1,7894800.0
MARKSANS,211.01,0.2213,164313.487
SAREGAMA,535.95,0.2,428760.00000000006
HCC,25.97,0.2576,19280.127999999997
POLICYBZR,1619.6,0.2,1295680.0
CENTURYPLY,729.4,0.2,583520.0
HDFCLIFE,704.7,0.0959,637119.27
ECLERX,2506.1,0.2,2004880.0
HIKAL,414.6,0.2,331680.00000000006
NAUKRI,6735.5,0.2,5388400.000000001
APARINDS,5056.0,0.205,4019520.0
TRITURBINE,507.35,0.226,392688.9
SOUTHBANK,24.19,0.2,19352.000000000004
ALPHA,44.47,0.09390000000000001,40294.267
HOMEFIRST,1138.1,0.2,910480.0
ALOKINDS,16.05,0.2,12840.000000000002
PNGJL,547.75,0.2,438200.00000000006
LTFOODS,360.5,0.2,288400.00000000006
PEL,987.35,0.2,789880.0000000001
GMMPFAUDLR,1050.0,0.2,840000.0
SUMICHEM,555.25,0.2,444200.00000000006
APLAPOLLO,1564.8,0.2,1251840.0000000002
GOODLUCK,756.9,0.203,603249.2999999999
KTKBANK,182.54,0.2,146032.0
ORIENTCEM,359.15,0.2,287320.0
RAYMOND,1522.2,0.2347,1164939.66
POLYPLEX,1216.3,0.2,973040.0
BOMDYEING,132.39,0.2032,105488.35199999998
GIPCL,184.24,0.2032,146802.432
SGBJUL28IV,8770.0,0.1,7893000.0
TRIVENI,395.75,0.2,316600.0
SGBOCT25,8965.0,0.1,8068500.0
MASTEK,2335.4,0.2,1868320.0000000002
CARTRADE,1546.0,0.22329999999999997,1200778.2000000002
LODHA,1214.0,0.2,971200.0
RADICO,2412.4,0.2,1929920.0
PERSISTENT,4716.0,0.2,3772800.0
RTNINDIA,42.63,0.20829999999999999,33750.171
SGBD29VIII,8836.33,0.1,7952697.0
GODIGIT,289.2,0.2,231360.0
NATCOPHARM,803.95,0.2,643160.0000000001
BANDHANBNK,154.07,0.2,123256.0
SGBAUG28V,8828.2,0.1,7945380.000000001
MGL,1315.6,0.2,1052480.0
MAHABANK,46.03,0.2,36824.00000000001
GODREJIND,1136.1,0.2,908880.0
FEDERALBNK,191.9,0.2,153520.0
LLOYDSENGG,60.09,0.2397,45686.427
SGBMAY25,9195.0,0.1,8275500.0
BHARTIHEXA,1510.1,0.2,1208080.0
HDFCSILVER,92.89,0.2,74312.0
ALKYLAMINE,1770.6,0.2,1416480.0
PETRONET,295.85,0.2,236680.00000000003
ESCORTS,3274.0,0.2,2619200.0000000005
FCL,238.52,0.2,190816.00000000003
SETFNIF50,246.54,0.06,231747.59999999998
SGBN28VIII,8751.42,0.1,7876278.0
LIQUIDBETF,1025.81,0.05,974519.4999999999
NOCIL,183.39,0.2,146712.0
CGPOWER,589.25,0.2,471400.00000000006
PRAKASH,169.02,0.2036,134607.528
CHOLAFIN,1560.3,0.2,1248240.0
M&M,2646.0,0.12369999999999999,2318689.8000000003
UNOMINDA,877.9,0.2,702320.0
JWL,379.85,0.24100000000000002,288306.15
SHRIRAMFIN,672.0,0.1464,573619.2
AWL,280.25,0.2,224200.00000000003
MMTC,52.76,0.2202,41142.248
HBLENGINE,518.9,0.2248,402251.28
ELGIEQUIP,450.95,0.2,360760.0
SWIGGY,334.0,0.2,267200.0
MID150BEES,197.52,0.0706,183575.08800000002
PGHH,14104.0,0.2,11283200.0
SANSERA,1128.1,0.2,902480.0
TVSMOTOR,2586.5,0.2,2069200.0000000002
PNCINFRA,271.35,0.2,217080.00000000003
SDBL,130.26,0.2,104208.0
GAEL,120.2,0.2,96160.00000000001
ITCHOTELS,201.5,0.2,161200.00000000003
SRF,3007.2,0.2,2405759.9999999995
CHALET,830.8,0.2,664640.0
BANKINDIA,111.36,0.2,89088.00000000001
ZYDUSLIFE,883.15,0.2,706520.0
GABRIEL,555.65,0.2,444520.0
CANBK,92.69,0.2,74152.0
KARURVYSYA,211.09,0.2,168872.0
ADANIENT,2418.2,0.204,1924887.2
GODFRYPHLP,7312.0,0.2749,5301931.200000001
SOBHA,1183.9,0.2,947120.0000000001
PGHL,5230.5,0.2,4184400.0000000005
PAYTM,840.15,0.23079999999999998,646243.38
CDSL,1227.4,0.2,981920.0000000001
MUTHOOTFIN,2051.0,0.2,1640800.0000000002
MAHLIFE,313.75,0.2,251000.0
JKTYRE,301.0,0.2,240800.0
UBL,2088.1,0.2,1670480.0
TIPSMUSIC,647.9,0.2,518320.00000000006
COFORGE,6466.0,0.2,5172800.0
AAVAS,2004.8,0.2,1603840.0000000002
ENGINERSIN,169.3,0.20440000000000003,134695.08000000002
AFFLE,1541.4,0.2,1233120.0000000002
VAIBHAVGBL,221.74,0.2,177392.00000000003
WSTCSTPAPR,441.85,0.2,353480.0
KPRMILL,1020.95,0.2,816760.0000000001
LIQUIDSHRI,1048.14,0.05,995733.0000000001
CYIENTDLM,456.2,0.2,364960.00000000006
ONGC,232.69,0.1348,201323.388
HEXT,637.75,0.2,510200.00000000006
GODREJCP,1216.3,0.2,973040.0
ANGELONE,2318.4,0.2163,1816930.0800000003
ZFCVINDIA,13204.0,0.2,10563200.0
HEROMOTOCO,3803.9,0.10060000000000001,3421227.66
IONEXCHANG,510.75,0.2,408600.0
GODREJPROP,2015.6,0.2,1612480.0
RBA,73.31,0.2,58648.0
IGL,178.97,0.2,143176.00000000003
GICRE,411.8,0.20199999999999999,328616.4
APOLLOHOSP,6905.0,0.0916,6272501.999999999
KEC,711.4,0.2,569120.0
SAIL,113.25,0.2,90600.00000000001
SPIC,85.73,0.2,68584.0
LICHSGFIN,587.85,0.2,470280.00000000006
INDIGO,5256.0,0.2,4204800.0
TATASTEEL,136.41,0.1253,119317.827
SGBMAY29I,8739.28,0.1,7865352.000000001
IDBI,80.66,0.2,64528.00000000001
SGBJAN26,8900.0,0.1,8010000.0
ZENSARTECH,652.8,0.2,522240.0
AXISGOLD,78.22,0.2,62576.0
FIEMIND,1405.4,0.2,1124320.0000000002
MEDPLUS,804.2,0.2,643360.0000000001
YATHARTH,484.85,0.2,387880.00000000006
CUB,169.14,0.2,135311.99999999997
FIVESTAR,745.6,0.2,596480.0
UTKARSHBNK,24.2,0.2,19360.0
RVNL,360.8,0.2402,274135.84
BAJAJFINSV,1968.0,0.1018,1767657.6
NEULANDLAB,12660.0,0.2401,9620334.0
BEML,3085.4,0.2205,2405069.3000000003
GPPL,141.43,0.2,113144.0
SUNDARMFIN,4948.8,0.2,3959040.0000000005
EBBETF0425,1290.83,1.0,0.0
RBLBANK,181.29,0.2,145032.0
OLECTRA,1179.9,0.2,943920.0000000001
MINDACORP,508.3,0.2,406640.00000000006
RELIANCE,1240.1,0.09,1128491.0
ANURAS,752.05,0.2,601640.0
AHLUCONT,905.95,0.2,724760.0000000001
SIGNATURE,1130.7,0.2,904560.0000000001
DEEPAKFERT,1263.3,0.214,992953.8
HAPPSTMNDS,572.8,0.2,458240.0
SFL,650.05,0.2,520039.99999999994
WELSPUNLIV,129.74,0.2,103792.00000000001
SUVENPHAR,1184.8,0.2,947840.0
KOTAKBANK,2120.2,0.0947,1919417.0599999998
INFY,1426.0,0.1001,1283257.4
LIQUID,999.99,0.05,949990.5
HDFCLIQUID,1006.9,0.05,956555.0
SHAREINDIA,168.98,0.2,135184.0
LATENTVIEW,386.75,0.2,309400.00000000006
VARROC,421.35,0.2,337080.00000000006
KANSAINER,255.81,0.2,204648.00000000003
SBIN,763.5,0.1033,684630.45
DELTACORP,82.18,0.2,65744.00000000001
LINDEINDIA,6109.5,0.2,4887600.0
CAMLINFINE,168.85,0.2284,130284.66
PRESTIGE,1198.5,0.2,958800.0000000001
GRASIM,2718.6,0.0935,2464410.9
NHPC,85.42,0.2,68336.0
SHILPAMED,655.65,0.20170000000000002,523405.395
TECHM,1301.7,0.1072,1162157.76
SGBDEC2513,8857.0,0.1,7971300.0
REDINGTON,224.68,0.2,179744.00000000003
ALKEM,4920.8,0.2,3936640.0000000005
NTPC,362.5,0.1173,319978.75
JIOFIN,238.57,0.1393,205337.199
PIDILITIND,2991.6,0.2,2393280.0
HERITGFOOD,416.5,0.2,333200.00000000006
RENUKA,28.36,0.2,22688.000000000004
GANECOS,1613.6,0.2,1290880.0
LICI,784.3,0.2,627440.0
PPLPHARMA,222.52,0.2,178016.00000000003
JINDALSAW,257.45,0.2125,202741.875
JBCHEPHARM,1591.5,0.2,1273200.0
UNITDSPR,1501.7,0.2,1201360.0000000002
SGBNOV26,8899.0,0.1,8009100.0
SGBSEP28VI,8740.14,0.1,7866125.999999999
SGBDEC25,8925.0,0.1,8032500.0
JAMNAAUTO,75.6,0.2,60480.0
BAJAJHFL,124.23,0.2,99384.00000000001
CMSINFO,459.8,0.2,367840.00000000006
